Weather,Time of Day (minutes),Number of People
rainy,2832,84
snowy,1205,52
rainy,8952,77
snowy,8434,56
snowy,2451,70
windy,6529,54
windy,3165,54
snowy,4811,84
sunny,3948,36
snowy,7970,58
snowy,9138,57
windy,656,0
sunny,8752,47
sunny,1335,4
snowy,3646,63
sunny,4514,17
snowy,617,62
windy,4248,43
snowy,9282,70
rainy,8564,69
sunny,5779,11
snowy,9563,73
rainy,7182,87
rainy,3576,95
windy,6962,33
rainy,6470,89
snowy,2803,57
sunny,9936,21
sunny,3558,10
rainy,9516,90
snowy,3387,51
snowy,4865,59
rainy,1493,106
sunny,8390,41
rainy,9926,99
rainy,7689,73
rainy,10029,85
snowy,4487,92
snowy,8713,38
windy,2825,34
snowy,8386,64
sunny,9597,35
windy,8869,9
sunny,7889,10
sunny,6932,35
snowy,244,39
snowy,476,63
rainy,8793,57
sunny,7455,28
sunny,2277,32
snowy,5089,65
windy,6993,20
rainy,176,78
rainy,6709,84
sunny,8008,24
windy,4947,29
snowy,7923,50
sunny,2172,15
sunny,7613,34
rainy,10009,80
snowy,4364,65
rainy,1660,54
rainy,859,67
windy,1588,34
snowy,1512,67
sunny,3750,50
sunny,1400,35
sunny,4646,9
rainy,3378,56
snowy,8289,62
snowy,3226,53
snowy,2242,42
rainy,8927,89
snowy,7905,82
sunny,6666,36
snowy,5266,31
rainy,7903,59
rainy,1226,106
sunny,2913,12
snowy,8434,55
snowy,82,51
rainy,2209,29
sunny,2040,34
sunny,1592,31
rainy,5034,96
sunny,7865,40
snowy,6909,52
windy,8931,34
windy,5877,43
sunny,9763,32
windy,852,43
snowy,6398,60
windy,3636,46
windy,1626,34
sunny,1338,25
sunny,3758,38
sunny,4905,38
rainy,9224,72
sunny,8534,25
windy,854,46
sunny,8800,18
sunny,5143,30
snowy,7803,53
snowy,2667,48
snowy,6541,52
windy,7474,38
snowy,2468,88
windy,2696,35
rainy,4347,79
rainy,5339,81
windy,863,47
snowy,5540,73
sunny,5210,2
windy,3472,42
windy,7756,36
snowy,9053,87
snowy,3187,61
rainy,8994,97
rainy,1957,84
rainy,4385,78
rainy,6632,77
sunny,9584,49
sunny,701,42
windy,1803,43
snowy,10011,32
sunny,8757,63
snowy,7298,54
rainy,1892,104
sunny,6675,17
sunny,8094,16
windy,8516,49
windy,3863,46
windy,1586,55
windy,8773,41
sunny,3822,49
rainy,1802,100
sunny,4086,18
sunny,3650,39
sunny,7201,33
rainy,4378,97
sunny,480,13
rainy,865,74
rainy,8743,102
snowy,6291,70
rainy,2046,63
windy,2684,64
snowy,2714,59
windy,4304,29
rainy,9475,70
sunny,9017,0
windy,4190,25
sunny,6975,50
windy,5907,46
rainy,159,62
rainy,5024,76
snowy,1535,61
rainy,7023,115
windy,2465,56
sunny,2514,13
sunny,2525,42
windy,2123,61
windy,6333,56
snowy,6318,33
rainy,6864,70
windy,9556,25
sunny,1361,34
sunny,7337,40
windy,8731,24
windy,8714,52
snowy,3516,62
rainy,9863,74
snowy,6803,64
snowy,7471,69
rainy,798,69
snowy,8009,67
snowy,4484,99
sunny,4683,5
rainy,9411,81
rainy,2124,95
sunny,8908,41
snowy,9163,48
sunny,3,46
windy,7456,31
windy,8514,42
snowy,5159,42
windy,3232,28
snowy,2765,57
windy,5019,15
rainy,5476,79
rainy,7970,89
snowy,3982,65
rainy,7829,88
sunny,3643,34
rainy,8872,93
rainy,7948,68
snowy,5969,42
rainy,5378,86
snowy,1309,31
sunny,7247,24
windy,2501,81
snowy,3593,41
sunny,4156,31
rainy,9810,92
rainy,2386,71
sunny,5558,39
rainy,5797,111
sunny,8678,43
windy,2095,16
rainy,4594,83
rainy,2564,56
windy,852,46
rainy,6178,75
rainy,1020,78
rainy,2533,64
snowy,8799,68
sunny,7667,48
rainy,3525,95
sunny,7003,26
snowy,2837,76
windy,2963,47
rainy,5836,62
rainy,1662,107
snowy,9777,75
rainy,7033,101
sunny,4983,35
sunny,8008,61
rainy,2014,53
snowy,6971,59
rainy,522,82
rainy,9275,55
snowy,926,88
snowy,233,53
sunny,8996,40
windy,9145,55
snowy,3672,51
rainy,760,123
sunny,3686,16
rainy,3361,106
snowy,7539,62
rainy,5175,84
snowy,4228,68
rainy,305,69
snowy,6025,61
sunny,4832,56
windy,1895,47
rainy,9388,99
sunny,1952,0
snowy,2923,67
sunny,1506,15
rainy,3079,69
sunny,1202,9
rainy,672,96
snowy,4239,52
rainy,7936,63
sunny,6503,20
sunny,4598,45
sunny,4620,53
rainy,1954,103
snowy,7726,48
snowy,7025,56
windy,1734,38
rainy,7748,61
snowy,3562,78
windy,8420,54
snowy,8774,58
rainy,9253,88
rainy,6765,84
snowy,6853,60
snowy,5229,46
snowy,7393,51
rainy,7278,69
snowy,351,66
snowy,7747,56
snowy,1810,52
snowy,9899,58
sunny,9405,39
rainy,7050,94
windy,8534,32
windy,2862,63
sunny,6089,25
rainy,6073,92
windy,2116,64
windy,6734,25
sunny,2134,55
sunny,2661,37
snowy,7957,64
windy,4896,58
rainy,5841,86
sunny,9630,0
snowy,9786,50
sunny,1884,36
snowy,3180,64
windy,4495,58
snowy,5179,58
rainy,6388,104
rainy,9838,71
rainy,9714,96
windy,7927,16
rainy,3433,93
rainy,80,106
snowy,9384,60
snowy,5705,63
sunny,4628,19
rainy,6203,53
rainy,3463,84
rainy,1994,100
rainy,7524,92
sunny,8372,31
sunny,3462,40
snowy,8481,42
rainy,1993,111
windy,3446,42
snowy,585,54
rainy,5970,88
windy,9423,48
snowy,8995,72
sunny,2254,21
rainy,5898,86
rainy,474,66
sunny,653,52
windy,2035,58
windy,9069,23
rainy,9581,64
rainy,2568,85
windy,7324,43
windy,7,40
snowy,8128,68
sunny,5511,25
windy,9834,46
windy,4594,36
rainy,8372,114
sunny,1542,28
rainy,7418,89
rainy,7091,63
rainy,9064,68
sunny,2707,10
rainy,1004,114
rainy,1358,84
rainy,5306,77
windy,4871,59
rainy,3391,77
sunny,7881,45
sunny,4462,48
windy,6500,45
windy,9811,44
sunny,8871,47
rainy,196,48
windy,4335,26
snowy,3622,52
windy,5577,36
rainy,370,85
windy,8121,64
snowy,4618,57
windy,9152,48
rainy,8544,67
windy,8526,54
snowy,6025,62
rainy,6746,88
sunny,4106,24
windy,5887,3
sunny,7831,22
windy,8973,57
sunny,9960,16
rainy,9539,100
windy,3264,27
sunny,2636,11
snowy,8078,80
snowy,2587,52
sunny,5790,46
snowy,370,45
windy,3812,32
windy,1847,43
rainy,5879,80
rainy,3070,73
snowy,5670,85
windy,5766,68
windy,4758,45
windy,9770,46
rainy,1255,74
windy,1176,97
windy,1446,58
rainy,1476,68
windy,6117,39
snowy,9768,69
windy,4849,38
rainy,2757,79
windy,7838,37
windy,7886,77
sunny,6775,53
sunny,9409,36
rainy,2157,89
sunny,4650,42
snowy,1819,71
rainy,10055,59
rainy,25,93
sunny,5750,43
snowy,724,99
snowy,2830,35
rainy,8498,82
windy,9653,48
sunny,4787,33
rainy,333,73
snowy,4968,65
snowy,2766,74
sunny,5455,19
windy,4744,38
windy,8098,43
rainy,9562,95
sunny,7555,36
windy,2531,24
sunny,7919,56
snowy,6852,68
rainy,6189,101
windy,1763,47
rainy,1619,97
snowy,5488,60
windy,544,63
rainy,1706,71
snowy,5699,53
sunny,7511,16
sunny,9115,45
sunny,8566,10
rainy,4914,61
rainy,3394,74
rainy,7317,112
rainy,533,42
rainy,7649,73
sunny,2137,37
windy,1916,31
snowy,3156,40
rainy,83,91
windy,3473,31
rainy,4724,82
sunny,1780,31
snowy,2912,65
snowy,9636,49
windy,8290,46
windy,6898,60
snowy,8128,73
rainy,9927,103
windy,7528,21
snowy,5572,63
windy,524,29
snowy,1698,63
rainy,7555,103
rainy,5671,72
snowy,9803,45
windy,10035,43
sunny,2009,36
snowy,7790,66
rainy,2661,73
snowy,7553,73
snowy,3720,59
sunny,6110,56
windy,5361,10
sunny,3848,33
sunny,214,45
sunny,6849,40
windy,1116,90
snowy,2009,31
snowy,4463,70
sunny,7950,32
sunny,8043,54
windy,4406,42
rainy,12,78
sunny,7125,16
sunny,2976,60
windy,205,32
rainy,6684,74
windy,6565,35
rainy,1686,79
sunny,8922,21
windy,8397,34
windy,4322,46
sunny,8368,41
snowy,1318,63
snowy,5753,49
sunny,4075,40
windy,2070,26
snowy,6182,84
snowy,6245,66
sunny,2625,51
sunny,7527,43
windy,7720,32
rainy,4925,76
sunny,9942,15
rainy,1291,90
rainy,7387,61
sunny,2933,29
sunny,6016,26
sunny,8771,38
windy,6182,45
windy,6107,45
snowy,7853,84
snowy,4548,56
rainy,2629,60
snowy,9517,70
windy,5807,47
rainy,7799,84
rainy,4338,80
sunny,307,40
windy,3834,43
windy,1389,49
rainy,2386,67
sunny,4954,52
windy,178,29
sunny,3166,55
sunny,8042,38
windy,940,47
sunny,4515,31
windy,12,32
snowy,6116,53
snowy,5210,41
snowy,6851,57
windy,3859,67
snowy,804,67
rainy,5342,91
windy,5934,13
snowy,5913,54
sunny,7425,40
snowy,9952,78
rainy,8915,119
sunny,7364,27
rainy,4487,78
snowy,5194,61
windy,1212,57
windy,5748,51
sunny,1778,31
snowy,3614,74
rainy,7373,90
snowy,9249,71
windy,5509,49
sunny,7251,29
rainy,6641,62
rainy,1180,134
snowy,1379,55
sunny,9595,38
snowy,1426,52
rainy,7696,74
snowy,3942,56
snowy,7390,59
snowy,5534,58
snowy,4460,61
rainy,9660,94
sunny,2867,38
snowy,9481,27
snowy,8352,69
snowy,8197,14
sunny,3204,31
sunny,9506,71
rainy,7566,83
windy,4359,43
snowy,2765,63
snowy,861,55
sunny,6778,43
sunny,2064,51
snowy,2375,55
sunny,7535,10
snowy,3484,54
sunny,4250,34
sunny,282,40
rainy,8814,86
sunny,7594,31
rainy,8912,71
rainy,8605,67
snowy,7351,48
sunny,5488,6
snowy,7251,58
windy,7065,31
rainy,5804,71
snowy,1761,26
sunny,3678,62
rainy,8686,94
snowy,3231,39
snowy,880,33
snowy,5151,54
rainy,3983,63
snowy,662,45
windy,3357,31
windy,3502,50
snowy,6101,72
sunny,7121,35
snowy,2984,79
sunny,5467,69
sunny,9521,23
snowy,572,58
sunny,1303,37
sunny,4753,35
snowy,1390,45
rainy,4349,60
sunny,5549,41
windy,3550,39
snowy,6857,54
rainy,2804,87
rainy,2324,83
sunny,7986,28
rainy,7735,97
windy,906,55
sunny,7773,19
windy,1246,22
snowy,4000,70
sunny,4746,33
snowy,7064,55
rainy,4328,84
sunny,9558,33
windy,5161,48
windy,764,95
sunny,2532,18
sunny,595,19
sunny,5250,56
windy,7440,26
snowy,4056,84
windy,5252,14
windy,5490,54
windy,3146,22
windy,8502,35
rainy,3172,78
rainy,5993,93
rainy,2609,75
rainy,7553,48
sunny,7760,29
snowy,2087,37
sunny,6746,13
snowy,1940,80
sunny,4427,39
sunny,3374,57
rainy,584,107
rainy,8528,78
rainy,9303,71
windy,1683,32
snowy,5769,44
snowy,503,90
sunny,6373,49
sunny,8696,12
windy,2352,43
windy,4551,44
snowy,5779,81
rainy,7309,88
rainy,4380,86
sunny,1705,35
rainy,2487,95
sunny,1932,48
snowy,2734,41
snowy,5476,44
snowy,5064,46
sunny,9240,38
rainy,3992,72
rainy,5643,77
rainy,1510,55
windy,4464,32
sunny,1387,30
windy,2690,53
snowy,7476,70
snowy,1920,44
snowy,5043,60
rainy,4198,60
windy,6320,41
sunny,4172,14
snowy,6225,65
rainy,7959,68
windy,6333,27
snowy,5438,64
windy,2195,26
sunny,1315,41
sunny,1723,28
snowy,5186,69
sunny,4585,18
windy,1160,116
snowy,2009,58
rainy,3771,90
sunny,1071,48
rainy,1539,64
snowy,9486,45
windy,623,27
sunny,5257,14
snowy,2207,70
rainy,4251,93
snowy,6496,28
windy,9703,25
snowy,4148,59
rainy,9847,52
sunny,760,76
sunny,7014,46
rainy,8725,62
sunny,85,14
rainy,7831,87
snowy,4928,50
snowy,426,53
snowy,9335,56
windy,5283,57
windy,5199,50
sunny,6822,30
rainy,5053,75
windy,8657,41
windy,6215,57
rainy,4736,88
windy,7509,49
snowy,3117,42
rainy,2415,68
snowy,2573,65
sunny,10000,22
windy,5408,29
rainy,123,73
windy,5929,37
sunny,5225,33
windy,8921,19
sunny,6415,17
rainy,9098,86
rainy,8061,70
windy,3917,37
snowy,2556,56
rainy,7937,74
snowy,609,66
rainy,2138,80
rainy,2149,93
rainy,4033,111
snowy,1549,47
rainy,2334,70
sunny,4071,47
rainy,9506,65
sunny,7619,37
snowy,5251,52
windy,2479,60
rainy,7001,68
rainy,9406,95
windy,9353,35
sunny,4033,6
sunny,1597,21
sunny,2806,24
rainy,7893,83
snowy,6285,59
windy,8677,26
windy,7230,42
windy,4596,57
windy,2668,67
windy,7602,26
snowy,3526,55
windy,7929,27
snowy,6948,56
rainy,856,88
rainy,2831,83
sunny,4333,21
snowy,6264,76
windy,995,8
rainy,1963,79
windy,5783,22
snowy,8127,49
snowy,8040,56
sunny,366,29
windy,6952,40
sunny,4053,13
windy,5388,47
windy,5342,43
rainy,8855,119
sunny,5443,0
sunny,3597,3
rainy,1032,69
rainy,4224,88
rainy,5805,86
snowy,6231,51
rainy,9012,84
rainy,5441,86
windy,8861,29
sunny,7872,30
windy,2936,33
rainy,1139,137
sunny,9451,22
snowy,8427,69
windy,9846,64
snowy,7800,61
rainy,4474,95
windy,7218,15
sunny,8854,55
sunny,7085,43
snowy,7612,63
windy,8804,11
snowy,684,69
rainy,1779,100
sunny,4424,41
rainy,3576,69
sunny,6631,16
rainy,4570,61
rainy,2075,87
rainy,489,89
sunny,1055,40
windy,9562,53
snowy,5934,90
windy,3462,34
windy,3907,41
rainy,6937,62
rainy,5427,80
windy,1734,37
rainy,1618,58
snowy,5061,71
snowy,24,52
sunny,3978,24
windy,1792,49
snowy,6387,51
rainy,9390,98
rainy,5793,84
snowy,9840,49
snowy,9992,62
rainy,3868,87
windy,8294,36
sunny,8344,19
sunny,8473,49
snowy,1317,48
windy,4845,33
windy,9623,17
sunny,8020,29
sunny,10059,46
sunny,7446,53
sunny,5945,45
snowy,6965,80
windy,9763,37
sunny,3569,49
snowy,181,63
windy,4009,26
windy,8578,33
rainy,6149,81
snowy,1728,35
rainy,4836,116
rainy,3569,76
snowy,9713,60
windy,6637,17
sunny,6876,46
sunny,1219,34
rainy,8174,77
sunny,747,49
snowy,5130,85
windy,5419,52
rainy,7102,86
snowy,6433,61
rainy,6879,76
sunny,1526,30
sunny,8421,39
snowy,1747,63
rainy,9832,105
windy,2842,51
windy,2401,36
rainy,1549,89
snowy,2250,28
windy,8637,29
sunny,6572,14
snowy,2752,77
sunny,4560,32
windy,4355,25
windy,3275,54
windy,4400,31
rainy,9931,97
rainy,252,71
sunny,9399,10
sunny,4299,23
rainy,3072,74
snowy,9099,41
windy,8951,23
windy,4424,15
sunny,3342,30
snowy,6295,35
windy,2004,48
windy,4160,28
rainy,9417,73
snowy,8689,42
windy,846,50
snowy,5283,71
windy,3529,11
rainy,6996,85
sunny,3760,15
rainy,5948,56
sunny,7833,58
windy,9952,52
windy,8958,53
rainy,7586,90
sunny,2005,13
rainy,4450,92
windy,8214,26
rainy,599,92
sunny,9943,40
rainy,5401,71
windy,4503,34
windy,1175,95
windy,1259,61
windy,9142,43
windy,2232,55
windy,5414,54
sunny,2457,23
snowy,1502,53
sunny,8798,20
rainy,10025,58
snowy,7225,65
sunny,2834,34
snowy,6674,45
snowy,9290,42
snowy,5837,76
sunny,6578,35
windy,5018,13
windy,3,42
windy,9321,55
sunny,6661,32
rainy,9414,43
rainy,6968,85
rainy,2603,69
windy,1337,16
windy,5839,59
snowy,4167,60
sunny,3361,18
windy,994,30
windy,8477,19
sunny,7104,6
sunny,750,64
windy,7622,12
snowy,4793,59
rainy,9304,61
rainy,7311,70
rainy,8199,74
snowy,808,51
snowy,9436,58
rainy,5899,87
windy,9344,54
sunny,8658,37
snowy,7417,75
snowy,2427,67
snowy,2153,72
rainy,5083,77
sunny,313,22
windy,982,20
windy,8376,57
windy,4614,34
windy,8626,69
snowy,9823,39
snowy,9928,48
sunny,4190,13
snowy,719,52
snowy,365,78
windy,7877,8
windy,625,26
snowy,975,57
snowy,459,47
sunny,3622,30
sunny,1170,75
windy,2977,64
windy,6682,24
rainy,5966,67
windy,8556,20
rainy,2740,67
sunny,4570,28
snowy,7987,53
snowy,7139,72
sunny,4540,41
windy,5021,7
sunny,8568,20
sunny,5941,40
sunny,7313,39
rainy,5992,62
snowy,7766,65
windy,9352,43
rainy,215,110
windy,9349,26
windy,8602,40
windy,6043,29
rainy,2837,65
windy,1173,81
sunny,8210,14
sunny,7681,29
windy,5890,60
sunny,577,19
sunny,844,13
windy,4312,40
sunny,5950,36
snowy,6963,58
rainy,4614,68
snowy,9017,61
snowy,5070,70
snowy,8118,56
windy,5979,14
windy,1205,52
rainy,2767,70
rainy,6900,85
snowy,7160,104
windy,3591,44
snowy,3296,61
snowy,4800,38
windy,4876,41
rainy,7679,92
snowy,4901,59
rainy,9049,83
snowy,5609,53
